Transaktionsexport,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2025-10-23 11:10:48
,,,,,,
Totalt övriga händelser,,,,,,
Datum,Bokfört,Specifikation,Ort,Valuta,Utl. belopp,Belopp
2025-08-31,2025-09-04,ÅRSAVGIFT,,SEK,0,2335
2025-08-31,2025-09-04,EXTRAKORTSAVGIFT,,SEK,0,295
2025-08-31,2025-09-04,Kostnad pappersfaktura,,SEK,0,35
2025-09-15,2025-09-15,BETALT BG DATUM 250915,,SEK,0,-12815.21
2025-09-30,2025-10-06,Kostnad pappersfaktura,,SEK,0,35
2025-10-02,2025-10-02,BETALT BG DATUM 251002,,SEK,0,-5300
2025-10-20,2025-10-20,BETALT BG DATUM 251020,,SEK,0,-12100.67
,,Summa köp/uttag,,,,24012.36000000001
Totalt belopp,,,,,,-3503.519999999986
,,,,,,
525412******9506,EVELINA FRÖJD,,,,,
Köp/uttag,,,,,,
Datum,Bokfört,Specifikation,Ort,Valuta,Utl. belopp,Belopp
2025-10-21,2025-10-22,PIZZERIA & REST,HJO,SEK,0,130
2025-10-19,2025-10-20,NORMAL SKÖVDE,SKOVDE,SEK,0,526
2025-10-19,2025-10-20,MAXI ICA STORMARKNAD S,SKOVDE,SEK,0,544.75
2025-10-17,2025-10-20,ICA SUPERMARKET HJO,HJO,SEK,0,69
2025-10-17,2025-10-20,HJOGOTTEN AB,HJO,SEK,0,108.69
2025-10-16,2025-10-17,PIZZERIA & REST,HJO,SEK,0,130
2025-10-15,2025-10-16,HEM OCH HOBBY,HJO,SEK,0,165
2025-10-13,2025-10-14,ICA SUPERMARKET HJO,HJO,SEK,0,264.86
2025-10-10,2025-10-13,OYUSUSHI,HJO,SEK,0,149
2025-10-09,2025-10-10,HEM OCH HOBBY,HJO,SEK,0,224
2025-10-07,2025-10-08,LANTKROGEN I HJO AB,HJO,SEK,0,135
2025-10-04,2025-10-06,SP LH COSMETICS AB,STOCKHOLM,SEK,0,327.8
2025-10-04,2025-10-06,VARA BADHUS,VARA,SEK,0,370
2025-09-27,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,45
2025-09-27,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,300
2025-09-26,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,211
2025-09-20,2025-09-22,RYDE SWEDEN AB,ALINGSAS,SEK,0,20
2025-09-20,2025-09-22,RYDE SWEDEN AB,ALINGSAS,SEK,0,30
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,156
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,88
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,88
2025-09-20,2025-09-22,MASALA KITCHEN GAMLEST,GOTEBORG,SEK,0,196
2025-09-19,2025-09-22,HEM OCH HOBBY,HJO,SEK,0,298
2025-09-18,2025-09-19,HEM OCH HOBBY,HJO,SEK,0,360
